#TAG,NAME IN REPO (or git url),PURPOSE
,sudo,"gives users root access."
,grub,"is the bootloader."
,efibootmgr,"is needed for EFI boot."
,dosfstools,"is needed for EFI boot."
,os-propber,"is needed for EFI boot."
,mtools,"is needed for EFI boot."
,network-manager,"is the main networking utility."
,nm-connection-editor,"is a graphical interface for network-manager."
,xorg-server,"is the graphical server."
,xorg-apps,"contains packages to configure X."
,ttf-linux-libertine,"provides Libertine fonts."
G,https://github.com/ryanoasis/nerd-fonts,"provides the main font with added emoji support."
,lxapperance,"is a graphical tool to set GTK themes."
,git,"is a a version control system."
,arandr,"is a UI for screen adjustment."
,gvim,"is a text editor."
,nano,"is a text editor."
,emacs,"is an operating system."
,picom,"is a compositor."
,dunst,"is a notification daemon."
,lightdm,"is a display manager."
A,slick-greeter,"is greeter for lightdm."
A,polybar,"is the status bar."
,bspwm,"is the window manager."
,sxhkd,"is a hotkey manager."
,xterm,"is a simple terminal emulator."
,rxvt-unicode,"is a slightly less simple terminal emulator."
,curl,"is a command line tool for transferring data with URLs."
,wget,"is a program for retrieving files from the internet."
,exfat-utils,"allows management of FAT drives."
,tar,"allows extracting tar files."
,bash-completion,"allows autocompletion in bash."
,rsync,"is a utility for efficient file transferring."
,base-devel,"is a tool used for compiling."
,gcc,"is a GNU compiler collection."
,coreutils,"contains the main GNU utilities."
,moreutils,"contains more UNIX utilities."
,sxiv,"is a minimalist image viewer."
,feh,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gimp,"is an image editor."
,obs-studio,"is a streaming and recording program."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"is a well known FOSS browser from Mozilla."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,thunderbird,"is an email client by Mozilla."
,transmission-cli,"is a bittorrent client that contains transmission daemon and CLI interface."
,transmission-remote-gtk,"is a graphical interface for transmission."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system."
,pulsemixer,"is an audio controller."
,pavucontrol,"is a graphical audio interface."
,maim,"can take quick screenshots at your request."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pandoc,"is a massive bloated document converter."
,texlive-core,"includes TeX-related programs."
,mediainfo,"shows audio and video information."
,easytag,"is a program to modify music information."
,pcmanfm,"is a decent graphical file manager."
,xarchiver,"is a frontend to various command line archivers."
,signal-desktop,"is a supposedly privacy-respecting instant messenger."
,neofetch,"is a command line system information tool."
,lm_sensors,"is a tool to monitor temperatures, voltages, fans etc."
,gsimplecal,"is a simple graphical calender applet."
,htop,"is an interactive CLI process viewer."
G,https://github.com/miguelmota/cointop,"is a CLI cryptocurrency price tracker."

